"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","470pF","~","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","1",""
"C2,C14","10μF16V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C3","10pF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C4","270uF16V","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C5","470μF25V","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C6,C7,C8,C9,C10,C11,C12,C15,C16,C17","0.1uF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","10",""
"C13","0.047μ","~","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","1",""
"D1","1S2076","~","Diode_THT:D_A-405_P7.62mm_Horizontal","1",""
"D2","1S4","~","Diode_THT:D_A-405_P7.62mm_Horizontal","1",""
"D3","LED","~","LED_THT:LED_D3.0mm","1",""
"D4,D5","BAT43","~","Diode_THT:D_A-405_P7.62mm_Horizontal","2",""
"J1","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","1",""
"J2","SBCBUS","~","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1",""
"J3","Serial","~","Connector_Molex:Molex_SL_171971-0006_1x06_P2.54mm_Vertical","1",""
"JP1","ROMSEL","~","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","1",""
"JP2","SERSEL","~","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","1",""
"L1","100μH PWR","~","Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP","1",""
"R1","0.47 1W","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","1",""
"R2,R4,R5,R10,R11","4.7K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","5",""
"R3","330","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R6","13k 1%","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R7","1.5k 1%","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R8,R9","1K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"R12","100","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R13,R14","27","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2",""
"RN1","22k","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP5","1",""
"SW1","RESET","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"TP1","PHI2T","~","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1",""
"TP2","TPGND","~","Connector_Pin:Pin_D1.0mm_L10.0mm","1",""
"U1","i8080A","","Package_DIP:DIP-40_W15.24mm_Socket","1",""
"U2","uPD8224","","Package_DIP:DIP-16_W7.62mm","1",""
"U3","i8238","","Package_DIP:DIP-28_W15.24mm_Socket","1",""
"U4","27C512","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"U5","HM62256BLP","","Package_DIP:DIP-28_W7.62mm_LongPads","1",""
"U6","i8251A","","Package_DIP:DIP-28_W15.24mm","1",""
"U7","DEC8080A","","Package_DIP:DIP-24_W7.62mm_Socket_LongPads","1",""
"U8","MC34063AP","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF","Package_DIP:DIP-8_W7.62mm","1",""
"U9,U10","74HC244","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf","Package_DIP:DIP-20_W7.62mm_Socket","2",""
"X1","18.432MHz","~","Crystal:Crystal_HC49-U_Vertical","1",""
